eventId,title,organization,location,rawDateTime,url
11692450,A Few Good Men - General Body Meeting,A Few Good Men,University Union,"Wednesday, October 29 2025 at 6:30 PM CDT to

Wednesday, October 29 2025 at 8:00 PM CDT",https://unt.campuslabs.com/engage/event/11692450
11761713,Game Night with AFGM and PWC,these organizations,University Union,"Wednesday, November 19 2025 at 6:00 PM CST to

Wednesday, November 19 2025 at 9:00 PM CST",https://unt.campuslabs.com/engage/event/11761713
11692451,A Few Good Men - General Body Meeting,A Few Good Men,University Union,"Thursday, November 20 2025 at 6:00 PM CST to

Thursday, November 20 2025 at 8:00 PM CST",https://unt.campuslabs.com/engage/event/11692451
11491879,Active Minds General Meetings,Active Minds,University Union,"Thursday, October 30 2025 at 6:30 PM CDT to

Thursday, October 30 2025 at 7:30 PM CDT",https://unt.campuslabs.com/engage/event/11491879
11491880,Active Minds General Meetings,Active Minds,University Union,"Thursday, November 6 2025 at 6:30 PM CST to

Thursday, November 6 2025 at 7:30 PM CST",https://unt.campuslabs.com/engage/event/11491880
11491881,Active Minds General Meetings,Active Minds,University Union,"Thursday, November 13 2025 at 6:30 PM CST to

Thursday, November 13 2025 at 7:30 PM CST",https://unt.campuslabs.com/engage/event/11491881
11491882,Active Minds General Meetings,Active Minds,University Union,"Thursday, November 20 2025 at 6:30 PM CST to

Thursday, November 20 2025 at 7:30 PM CST",https://unt.campuslabs.com/engage/event/11491882
11491883,Active Minds General Meetings,Active Minds,University Union,"Thursday, December 4 2025 at 6:30 PM CST to

Thursday, December 4 2025 at 7:30 PM CST",https://unt.campuslabs.com/engage/event/11491883
11825586,African Student Association Dance Practice,African Students Organization,Pohl Recreation Center,"Sunday, November 2 2025 at 6:00 PM CST to

Sunday, November 2 2025 at 8:00 PM CST",https://unt.campuslabs.com/engage/event/11825586
11825587,African Student Association Dance Practice,African Students Organization,Pohl Recreation Center,"Sunday, November 9 2025 at 6:00 PM CST to

Sunday, November 9 2025 at 8:00 PM CST",https://unt.campuslabs.com/engage/event/11825587
11825588,African Student Association Dance Practice,African Students Organization,Pohl Recreation Center,"Sunday, November 16 2025 at 6:00 PM CST to

Sunday, November 16 2025 at 8:00 PM CST",https://unt.campuslabs.com/engage/event/11825588
11441562,Allied Scholars for Animal Protection Evening Talk,Allied Scholars for Animal Protection,,"Tuesday, November 11 2025 at 5:00 PM CST to

Tuesday, November 11 2025 at 7:00 PM CST",https://unt.campuslabs.com/engage/event/11441562
11794781,"Allied Scholars for Animal Protection: Evening with Ethan Brown, founder and CEO of Beyond Meat!",Allied Scholars for Animal Protection,University Union,"Thursday, November 13 2025 at 5:00 PM CST to

Thursday, November 13 2025 at 6:30 PM CST",https://unt.campuslabs.com/engage/event/11794781
11819720,Alpha Epsilon Pi: Alcohol Education and Awareness Slideshow,"Alpha Epsilon Pi Fraternity, Inc.

Alpha Epsilon Pi, the Jewish Fraternity of North America, was founded to provide opportunities for a Jewish man seeking the best possible college and fraternity experience. We accomplish this through social, jewish, and acadmeic programming.",University Union,"Thursday, November 20 2025 at 3:00 PM CST to

Thursday, November 20 2025 at 4:00 PM CST",https://unt.campuslabs.com/engage/event/11819720
